CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Afghanistan,AFG,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
United Arab Emirates,ARE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Argentina,ARG,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Armenia,ARM,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Australia,AUS,20200101,0,,,0,,,0,,,0,,,1,0,"Targeted at Australians in China, or travelling in virus-affected regions.",0,,,0,,,,1,,,,,,0,0,7,"	"
Austria,AUT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,Austria's interest rate is set by the ECB as a EURO country.,0,,0,,0,0,0,"	"
Azerbaijan,AZE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belgium,BEL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,"Belgium's interest rate is set by the ECB, as Belgium uses the EURO",0,,0,,0,0,0,"	"
Bulgaria,BGR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,Bulgaria's interest rate was at 0% before the crisis started,0,,0,,,,0,"	"
Bahrain,BHR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belarus,BLR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belize,BLZ,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,"Note: 'In Belize, the Interbank Rate is the rate of interest charged on short-term loans made between banks. The Central Bank of Belize does not control the monetary system by monitoring interest rates. Instead, it is responsible for maintaining a stable exchange rate. Since May of 1976, Belize has maintained a fixed exchange rate of BZD 2.00 to USD 1.00.' https://tradingeconomics.com/belize/interest-rate",0,,0,,,,0,"	"
Bermuda,BMU,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Bolivia,BOL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Brazil,BRA,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Barbados,BRB,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Botswana,BWA,20200101,,,,0,,,0,,,0,,"No closures reported, but ",1,1,"Public notified online, travellers posters and a a health alert on 02/12/19",0,,,1,Self referral screening from December,0,,5,https://tradingeconomics.com/botswana/interest-rate,0,,0,,,,19,"	"
Canada,CAN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1,,,,0,,0,0,0,"	"
Switzerland,CHE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Chile,CHL,20200101,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
China,CHN,20200101,0,0,,0,0,,0,0,,0,0,,0,0,report of uncertern virus in Wuhan http://m.news.cctv.com/2019/12/31/ARTIsg2QlHWoHQixNnJMlIHb191231.shtml,0,0,,0,,,,,,,,,,27,0,0,"	"
Colombia,COL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,,,0,"	"
Costa Rica,CRI,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
Czech Republic,CZE,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,0,0,0,"	"
Germany,DEU,20200101,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Denmark,DNK,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Dominican Republic,DOM,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Algeria,DZA,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Ecuador,ECU,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Egypt,EGY,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Spain,ESP,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Estonia,EST,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Finland,FIN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
France,FRA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
United Kingdom,GBR,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,1,https://www.bankofengland.co.uk/boeapps/database/Bank-Rate.asp,,,,,0,0,0,"	"
Georgia,GEO,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Greece,GRC,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Guatemala,GTM,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Guyana,GUY,20200101,0,0,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,0,"	"
Hong Kong,HKG,20200101,0,0,,0,0,,0,0,,0,0,,1,1,"CHP closely monitors cluster of pneumonia cases on Mainland. To prevent pneumonia and respiratory tract infection, members of ",0,0,,0,,0,,,,0,,,,,,14,"	"
Honduras,HND,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,0,,0,,0,,,,0,"	"
Croatia,HRV,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,3,Croatia's interest rate is at 3% before crisis started; https://www.ceicdata.com/en/indicator/croatia/policy-rate,0,,0,,0,0,0,"	"
Hungary,HUN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1,Hungary's interest rate was at 0.9 before the crisis started,0,,0,,,,0,"	"
Indonesia,IDN,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,0,0,0,"	"
India,IND,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49424,0,,0,,0,0,0,"	"
Ireland,IRL,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Iran,IRN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Iraq,IRQ,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,"	"
Iceland,ISL,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,0,0,0,"	"
Israel,ISR,20200101,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,0,,0,https://tradingeconomics.com/israel/interest-rate,0,,0,,0,0,0,"	"
Italy,ITA,20200101,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,,,,0,0,0,"	"
Jordan,JOR,20200101,0,0,,0,0,,0,0,,0,0,,,,,,,,0,,,,,,,,,,,,0,"	"
Japan,JPN,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Kenya,KEN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,9,https://tradingeconomics.com/kenya/interest-rate,0,,0,,,,0,"	"
Cambodia,KHM,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
South Korea,KOR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1.25,,0,,,,0,0,0,"	"
Kuwait,KWT,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Laos,LAO,20200101,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,"	"
Lebanon,LBN,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Sri Lanka,LKA,20200101,0,,,0,1,,0,,,0,,,0,,,0,,,0,,0,,7,https://tradingeconomics.com/sri-lanka/interest-rate,0,,0,,0,0,0,"	"
Lithuania,LTU,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Luxembourg,LUX,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Macao,MAC,20200101,0,0,,0,0,,0,0,,,,,1,1,https://news.gov.mo/detail/zh-hant/N20AAECxlQ?35,0,0,,0,,,,,,,,,,,,14,"	"
Monaco,MCO,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Mexico,MEX,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Macedonia,MKD,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Myanmar,MMR,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,,,0,,,,0,"	"
Malaysia,MYS,20200101,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,,,3,https://web.archive.org/web/20200327003220/https://www.bnm.gov.my/index.php?csrf=&ch=mone&pg=mone_opr_stmt&lang=en&yearfr=2019,,,,,0,0,0,"	"
Nigeria,NGA,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Nicaragua,NIC,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Netherlands,NLD,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Norway,NOR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Nepal,NPL,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
New Zealand,NZL,20200101,0,0,http://www.education.govt.nz/novel-coronavirus-2019-ncov-3/,0,0,https://www.employment.govt.nz/about/news-and-updates/workplace-response-coronavirus-covid-19/,0,0,https://web.archive.org/web/20200314003159/https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavi,0,0,https://www.stuff.co.nz/national/health/coronavirus/120293474/coronavirus-how-do-you-practice-social-distancing-and-still-use-,,,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12316158,,,,0,,0,,1,https://tradingeconomics.com/new-zealand/interest-rate,0,,,,0,0,0,"	"
Oman,OMN,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Pakistan,PAK,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Panama,PAN,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Philippines,PHL,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Poland,POL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,,,0,"	"
Portugal,PRT,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Qatar,QAT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,4,https://tradingeconomics.com/qatar/interest-rate,0,,0,,0,0,0,"	"
Romania,ROU,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,3,,0,,0,,0,0,0,"	"
Russia,RUS,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,6,,0,,0,,0,0,0,"	"
Singapore,SGP,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,0,0,0,"	"
El Salvador,SLV,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
San Marino,SMR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Serbia,SRB,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,,,0,"	"
Slovak Republic,SVK,20200101,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,,,,,,,,,,,0,"	"
Slovenia,SVN,20200101,0,0,,0,0,,0,0,,,,,,,,0,0,,0,,,,,,,,,,,,0,"	"
Sweden,SWE,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,,0,,0,,0,0,0,"	"
Syria,SYR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Thailand,THA,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,1.25,,0,"Can't seem to find any info, but needs to be confirmed",0,,0,0,0,"	"
Tanzania,TZA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Uganda,UGA,20200101,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,0,,0,,0,,0,,0,,,,0,"	"
United States,USA,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0,,2,https://tradingeconomics.com/united-states/interest-rate,,,,,0,0,0,"	"
Venezuela,VEN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Vietnam,VNM,20200101,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,"	"
South Africa,ZAF,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,7,,0,,0,,,,0,"	"
Zimbabwe,ZWE,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,0,"	"
Taiwan,TWN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,"	"
Afghanistan,AFG,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
United Arab Emirates,ARE,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Argentina,ARG,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Armenia,ARM,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Australia,AUS,20200102,0,,,0,,,0,,,0,,,1,0,,0,,,0,,,,1,,,,,,0,0,7,"	"
Austria,AUT,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Azerbaijan,AZE,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belgium,BEL,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Bulgaria,BGR,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,,,0,"	"
Bahrain,BHR,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belarus,BLR,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belize,BLZ,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,,,0,"	"
Bermuda,BMU,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Bolivia,BOL,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Brazil,BRA,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Barbados,BRB,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Botswana,BWA,20200102,,,,0,,,0,,,0,,,1,1,Online public health website notification (http://web.archive.org/web/20200322110625/https://www.moh.gov.bw/coronavirus.html) and travellers posters (https://www.moh.gov.bw/Publications/coronavirus/Travellers_poster.pdf),0,,,1,Self referral screening from December,0,,5,https://tradingeconomics.com/botswana/interest-rate,0,,0,,,,19,"	"
Canada,CAN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1,,,,0,,0,0,0,"	"
Switzerland,CHE,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Chile,CHL,20200102,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
China,CHN,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,27,0,0,"	"
Colombia,COL,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,,,0,"	"
Costa Rica,CRI,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
Czech Republic,CZE,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,0,0,0,"	"
Germany,DEU,20200102,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Denmark,DNK,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Dominican Republic,DOM,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Algeria,DZA,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Ecuador,ECU,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Egypt,EGY,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Spain,ESP,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Estonia,EST,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Finland,FIN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
France,FRA,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
United Kingdom,GBR,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,1,,,,,,0,0,0,"	"
Georgia,GEO,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Greece,GRC,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Guatemala,GTM,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Guyana,GUY,20200102,0,0,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,0,"	"
Hong Kong,HKG,20200102,0,0,,0,0,,0,0,,0,0,,1,1,,0,0,,0,,0,,,,0,,,,,,14,"	"
Honduras,HND,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,0,,0,,0,,,,0,"	"
Croatia,HRV,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,3,,0,,0,,0,0,0,"	"
Hungary,HUN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1,,0,,0,,,,0,"	"
Indonesia,IDN,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,0,0,0,"	"
India,IND,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49424,0,,0,,0,0,0,"	"
Ireland,IRL,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Iran,IRN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Iraq,IRQ,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,"	"
Iceland,ISL,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,0,0,0,"	"
Israel,ISR,20200102,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Italy,ITA,20200102,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,,,,0,0,0,"	"
Jordan,JOR,20200102,0,0,,0,0,,0,0,,0,0,,,,,,,,0,,,,,,,,,,,,0,"	"
Japan,JPN,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Kenya,KEN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,9,,0,,0,,,,0,"	"
Cambodia,KHM,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
South Korea,KOR,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1.25,,0,,,,0,0,0,"	"
Kuwait,KWT,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Laos,LAO,20200102,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,"	"
Lebanon,LBN,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Sri Lanka,LKA,20200102,0,,,0,1,,0,,,0,,,0,,,0,,,0,,0,,7,https://tradingeconomics.com/sri-lanka/interest-rate,0,,0,,0,0,0,"	"
Lithuania,LTU,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Luxembourg,LUX,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Macao,MAC,20200102,0,0,,0,0,,0,0,,,,,1,1,,0,0,,0,,,,,,,,,,,,14,"	"
Monaco,MCO,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Mexico,MEX,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Macedonia,MKD,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Myanmar,MMR,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,,,0,,,,0,"	"
Malaysia,MYS,20200102,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,,,3,https://web.archive.org/web/20200327003220/https://www.bnm.gov.my/index.php?csrf=&ch=mone&pg=mone_opr_stmt&lang=en&yearfr=2019,,,,,0,0,0,"	"
Nigeria,NGA,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Nicaragua,NIC,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Netherlands,NLD,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Norway,NOR,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Nepal,NPL,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
New Zealand,NZL,20200102,0,0,(suggests no measures as of 16/03/19),0,0,https://www.business.govt.nz/news/coronavirus-information-for-businesses/,0,0,,0,0,(suggests no measures as of 16/03/19),,,(suggests no campaign as of 16/03/19 but one planned),,,,0,,0,,1,,0,,,,0,0,0,"	"
Oman,OMN,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Pakistan,PAK,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Panama,PAN,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Philippines,PHL,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Poland,POL,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,,,0,"	"
Portugal,PRT,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Qatar,QAT,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,4,https://tradingeconomics.com/qatar/interest-rate,0,,0,,0,0,0,"	"
Romania,ROU,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,3,,0,,0,,0,0,0,"	"
Russia,RUS,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,6,,0,,0,,0,0,0,"	"
Singapore,SGP,20200102,0,0,,0,0,,0,0,,0,0,,1,1,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china,0,0,,2,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china,,,,,,,,,0,0,24,"	"
El Salvador,SLV,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
San Marino,SMR,20200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Serbia,SRB,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,,,0,"	"
Slovak Republic,SVK,20200102,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,,,,,,,,,,,,0,"	"
Slovenia,SVN,20200102,0,0,,0,0,,0,0,,,,,,,,0,0,,0,,,,,,,,,,,,0,"	"
Sweden,SWE,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,,0,,0,,0,0,0,"	"
Syria,SYR,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Thailand,THA,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,1.25,,0,,0,,0,0,0,"	"
Tanzania,TZA,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Uganda,UGA,20200102,0,1,,0,1,,0,1,,0,1,,0,1,,0,1,,0,,0,,0,,0,,0,,,,0,"	"
United States,USA,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0,,2,,,,,,0,0,0,"	"
Venezuela,VEN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Vietnam,VNM,20200102,0,0,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,0,0,0,"	"
South Africa,ZAF,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,7,,0,,0,,,,0,"	"
Zimbabwe,ZWE,20200102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,0,"	"
Taiwan,TWN,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,"	"
Afghanistan,AFG,20200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
United Arab Emirates,ARE,20200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Argentina,ARG,20200103,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Armenia,ARM,20200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Australia,AUS,20200103,0,,,0,,,0,,,0,,,1,0,,0,,,0,,,,1,,,,,,0,0,7,"	"
Austria,AUT,20200103,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Azerbaijan,AZE,20200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belgium,BEL,20200103,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
